indice,area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
6549,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.077922,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
6550,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.012987,0,0.02,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,1,0.5,1,1,1,0,0,0.5,0,0,1,1,1,0,1,1,0,0,0.25,1,1,1,1,0,0.5,0.25,0,0,1,1,0,0
6551,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0,0,0.064935,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6552,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0.25,1,1,1,1,0,0.25,0,0,0,0.75,1,0.25,0.25
6553,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6554,urbana,121150,1,1,1,1,0,1,0.833333,0.833333,0.833333,0.833333,0.5,0.833333,0.133333,0.133333,0.077922,0,0.08,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.25,1,0,1,1,0.75,0.75,0.75,0.5,0.75,0.25,0.25,0.5,0.5
6555,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0.042857,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6556,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.077922,0.085714,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.5
6557,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6558,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0.028571,0.02,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75
6559,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.05,0.05,0.181818,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6560,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6561,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0.5,1,1,1,1,0,0.25,0,0,0,0.75,0.75,0,0
6562,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.025974,0.028571,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0.25,1,1
6563,urbana,121150,1,0,0,1,1,1,0.833333,0.5,0.5,0.833333,0.833333,0.833333,0,0,0.064935,0,0.1,0,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.5,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5
6564,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.05,0.05,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0.75,1,1,1,1,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.75
6565,urbana,121150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.064935,0,0.1,0.833333,0.833333,0,0.833333,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0
6566,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.066667,0.066667,0.090909,0,0.14,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.5,1,1,1,1,0.25,0,0.25,0.5,0.25,0.5,0.75,0.5,0.25
6567,urbana,121150,0,0,0,1,0,1,0.833333,0.5,0.5,0,0.5,0,0.066667,0.066667,0.077922,0,0.12,0.333333,0.833333,0.833333,0.833333,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0.5,1,1,0,0,0,0.75,0.5,0.5,0.5,0,0.75,0.25,0.75
6568,urbana,121150,0,0,0,0,0,0,0.833333,0.5,0.5,0.5,0.833333,0.833333,0.083333,0.083333,0.12987,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0.5,1,1,1,1,0,0.25,0.5,0.5,0.5,0.25,0,0,0.25
6569,urbana,121150,1,1,0,1,1,1,0.833333,0.833333,0.5,0.833333,0.833333,0.833333,0.033333,0.033333,0.194805,0,0.3,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0.75,1,1,1,1,0,0,0,0,0,0,0.5,0.5,0.5
6570,urbana,121150,0,0,0,1,1,1,1,0.5,0.5,0,0,0,0.033333,0.033333,0.077922,0,0.12,0.333333,0.833333,0,0.333333,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25
6571,urbana,121150,0,0,0,0,0,0,1,0.5,0.333333,0.833333,0.333333,0.833333,0.033333,0,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0.5,1,1,1,1,0,0,0.25,0,0,1,0,0,0.5
6572,urbana,121150,0,0,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.1,0.033333,0.077922,0.085714,0,0.833333,0.833333,0,0.833333,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0.25,1,1,1,1,0,0,0,0,0,0,0,1,1
6573,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.033333,0.033333,0.051948,0,0.08,0.5,0.5,0.5,0.5,0.5,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0.75,1,1,1,1,0,0.25,0.5,0.25,0,0.5,0.75,0.5,0.75
6574,urbana,121150,1,0,0,1,1,1,0.833333,0.5,0.5,0.833333,0.833333,0.833333,0,0,0.038961,0,0,0,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.75,1,1,1,1,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5
6575,urbana,121150,1,1,1,1,1,1,0,0.833333,0.833333,0,0,0,0,0,0.064935,0,0.1,0,0.833333,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0.5,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.5,0.25,0.5,0.25,0.5,0.75,0,0.25
6576,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.033333,0.033333,0.12987,0,0.2,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.5,0.25,0.25,0,0.75,0.75,0.5,0.25
6577,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.033333,0.033333,0.051948,0,0.08,0.833333,0.833333,0,0.833333,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0,0,1,0
6578,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,1,0,0.5,1,0.5,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.5
6579,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.012987,0,0.02,0,0.833333,0.833333,0.833333,0.833333,0,1,1,0.5,0,0.5,1,0.5,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5
6580,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.038961,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5
6581,urbana,121150,0,0,0,1,1,1,0.833333,0.333333,0.333333,0,0,0.833333,0.083333,0.083333,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,0.25,0.25,0,0,0.5,0,1,0.25,0.25
6582,urbana,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.1,0.1,0.103896,0,0.16,0.833333,0.833333,0,0.833333,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0.25,1,1,1,1,0,0,0,0,0,0,0,0.5,1
6583,urbana,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0.25,1,1,1,1,0,0,0.25,0.25,0.25,0,0.75,0.25,0.5
6584,urbana,121150,1,1,0,1,1,1,0,0.833333,0.5,0,0,0,0.066667,0.066667,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,1,1,1,1,0,0,0.5,1,0,1,0.5,1,1,0,1,0,1,0.5,1,1,1,1,0.5,0,0.25,0,0.25,0.5,0.75,0.5,0.5
6585,urbana,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.025974,0,0.04,0.833333,0.833333,0,0.833333,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.5,1,1,1,0,0,0,0,0,0,0,0,0.25,0.25
6586,urbana,121150,1,1,1,1,1,1,0.833333,1,1,0,0,0,0.033333,0.033333,0.077922,0,0.12,0.833333,0.833333,0.166667,0.833333,0.833333,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0.25,1,1,1,1,0.25,0,0,0.25,0.5,0.75,0.75,0.5,0.5
6587,rural,121150,0,0,0,0,0,1,1,1,1,1,1,0,0.1,0.1,0.077922,0,0.12,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0.5,1,1,1,1,0.5,0,0,0.5,0.5,0.25,0,1,1
6588,rural,121150,0,1,0,0,0,0,0.833333,0.833333,0.5,1,0.5,0.833333,0.016667,0.016667,0.038961,0,0.06,0.833333,0.833333,0.833333,1,0.833333,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0,0.25,0,0,0,1,0.75,0.5,0
6589,rural,121150,0,0,0,0,0,0,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1,0,0
6590,rural,121150,0,1,1,1,1,1,0.166667,1,1,1,1,1,0,0,0.064935,0.014286,0.08,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0.25,1,1,1,1,0,0,0,0,0,0.5,0.25,0,0
6591,rural,121150,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0,0,0.038961,0,0.06,0,0,1,1,1,0,1,0,0.5,0.5,1,0.5,0.5,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.75,1,1,1,1,0,1,0,0,0.25,0.75,0,1,0
6592,rural,121150,0,1,0,1,1,1,0.166667,0.833333,0.5,0.833333,0.833333,0.833333,0.083333,0.083333,0.116883,0,0.18,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,0.5,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0.25,1,1,1,1,0,0,0,0,0,0,1,0.25,0.25
6593,rural,121150,0,0,0,0,0,0,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.133333,0.133333,0.12987,0,0.2,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,0.5,0,0,0.5,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0,0.5,0,0,0,0.5,0.75,0,0.5
6594,rural,121150,1,0,0,1,1,1,0,0.5,0.5,0,0,0,0.066667,0.066667,0.155844,0,0.2,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0.5,1,1,1,0,0.25,0,0,0,0,0,1,0.5,0
6595,rural,121150,0,0,0,0,0,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,0,0.833333,0,0,0.833333,0,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,1,1,1,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5
6596,rural,121150,0,0,0,0,0,0,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.064935,0.014286,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6597,rural,121150,0,0,0,0,0,0,0.166667,0.666667,0.666667,0.666667,0.666667,0.666667,0.1,0.1,0.090909,0,0.14,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.25,1,1,1,1,0,0,0,0,0,0,1,0,0
6598,rural,121150,0,0,0,0,0,0,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.103896,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0.25,1,0,1,1,0,0,0,0,0,0.5,0.25,0.25,0
6599,rural,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0,0,0.051948,0,0.08,0,0,0,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,0,0,0.5,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,0,0,0,0,0,0,1,0.5,0.5,0.5
6600,rural,121150,0,0,1,1,1,1,0.833333,0.833333,0,0,0,0,0,0,0.025974,0,0.04,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.25,0,1,1,0,0,0,0,0,0,1,0,0.75,0.75
6601,rural,121150,0,0,0,0,0,1,0.833333,0.333333,0.333333,0.333333,0.333333,0,0.066667,0.066667,0.038961,0,0.06,0.833333,0,0,0,0,0,0,0,0,1,0.5,0.5,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0
6602,rural,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.038961,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0.5,1,1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1
6603,rural,121150,1,1,1,1,1,1,0.833333,1,0.833333,0,0,0,0.033333,0.033333,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0.5,1,0.5,0.5,0.5,0.5,0,0,1,0,0,1,1,1,1,1,1,0,1,0.25,1,1,1,1,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5
6604,rural,121150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0,0,0,0.033333,0.033333,0.064935,0.057143,0.02,0.833333,0.833333,0.166667,0.833333,0.833333,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.5,0.25,0,0.25,0.5,0.75,0,0.5
6605,rural,121150,0,1,0,1,1,1,0.833333,1,0.5,0,0,0,0.066667,0.066667,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,1,0,0.5,0.5,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.5,0.5,0.25,0.5,0.5,1,0.25,0.5
6606,rural,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6607,rural,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.016667,0.016667,0.064935,0,0.1,0.833333,0.833333,1,0.833333,0.833333,0,1,1,1,1,0.5,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5
6608,rural,121150,1,0,0,1,1,1,0.833333,1,1,0.833333,0.833333,0.833333,0.066667,0.066667,0.038961,0,0.06,0.833333,0.833333,1,0.833333,0.833333,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5
6609,rural,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0.833333,0.066667,0.066667,0.038961,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.25,1,1,1,1,0,0.25,0,0,0,0,0,0.75,0
6610,rural,121150,0,1,1,1,1,1,0.166667,1,1,0,0,0,0,0,0,0,0,0,0.833333,0.833333,0,0.833333,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.25,0,0.25,0.5,0.75,0.75,0,0.5
6611,rural,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.051948,0,0.08,0.833333,0,0,0.833333,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,1,0.25,0.25,1
6612,rural,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.066667,0.066667,0.064935,0,0.1,0.833333,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,1,0,0.75,0.5
6613,rural,121150,1,1,1,1,1,1,0.833333,1,0.833333,0,0,0,0.033333,0.033333,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.25,0,0.5,0.25,1,0.5,0.25,0.25
6614,rural,121150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0,0.016667,0.016667,0.025974,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0.5,1,0.5,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5
6615,rural,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0,0,0.103896,0,0.16,0,0,0.833333,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5
6616,rural,121150,0,0,0,1,1,1,0.166667,1,0.5,0,0,0,0.066667,0.066667,0.051948,0,0.08,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,1,0,0,1,1,1,1,1,0,1,0.5,1,1,1,1,0.25,0,0.5,0.25,0.5,0.75,0.5,0.25,0.5
6617,rural,121150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0.1,0.1,0.077922,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,0.5,0,1,1,0.5,1,0,0,0.5,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0.5
6618,rural,121150,0,0,0,1,1,1,0.166667,1,1,0.833333,0.833333,0,0.033333,0.033333,0.038961,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0.5,0,0.5,1,0.5,1,0,0,0.5,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6619,rural,121150,0,0,0,1,1,1,0.166667,0.833333,0.833333,0,0,0,0.033333,0.033333,0.051948,0,0.08,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0.5,0,0.5,0.5,0.5,0.5,0,0,1,0,0,1,0.5,1,1,1,1,1,1,0.25,1,1,1,1,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.75
6620,rural,121150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.181818,0,0,0.833333,0.833333,0.166667,0.833333,0.833333,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5
6621,rural,121150,1,1,1,1,1,1,1,1,1,0.833333,1,1,0.066667,0.066667,0.025974,0,0,1,1,1,1,1,0,0,1,0.5,0.5,0.5,1,0.5,1,0,0,0.5,0,0,1,1,0,0,0,0,0,0,0.5,1,1,1,1,0,0,0.25,0.5,0.25,0.75,1,0,0.25
6622,rural,121150,0,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.064935,0,0.1,0.833333,0.833333,0,0.833333,0,0,0,1,0.5,0,1,0.5,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.25,1,1,0,0,0,0,0,0,0,1,0.25,0.75,0.75
6623,rural,121250,1,1,0,1,1,1,0.833333,0.833333,0.5,0.833333,0,0,0.033333,0.033333,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.5,1,1,1,1,0,0,0,0,0.25,0,0.5,0.5,0.5
6624,rural,121250,1,1,1,1,1,1,1,1,1,1,1,1,0.066667,0.066667,0.051948,0.057143,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5
6625,rural,121250,0,1,1,1,1,1,0.5,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.051948,0.014286,0.04,0,0,0.166667,0.833333,0.833333,0,0,0,0,0.5,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.75,0.75,0.25,0,1,0.75
6626,rural,121250,0,1,1,1,1,1,1,1,1,1,0,1,0.066667,0.066667,0.025974,0,0.04,1,0,1,0.833333,0.833333,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0.5,1,1,1,1,0,0.25,0.5,1,1,0.5,0.5,1,1
